ID	S1	S2	S3
1497-RMM-0177	16.7452965239	25.9613872302	22.4403282782
1497-RMM-0180	12.5750320871	42.6534521136	14.5826801548
1497-RMM-0277	19.5705613729	18.5675557545	24.5929748135
1497-RMM-0278	14.8554423702	18.6792850302	30.357797293
1497-RMM-0279RD	19.7876276355	17.6501595446	25.5590377058
1497-RMM-0280	20.0759937314	18.8919126252	23.3363248837
1497-RMM-0281	18.1725405699	19.2919528768	25.7699582411
1497-RMM-0282	12.092439818	23.0162796351	30.5235794092
1497-RMM-0283RD	21.5747986639	23.3360365695	19.7131872256
1497-RMM-0284	21.7993023838	14.9647153319	25.4708575372
1497-RMM-0285	19.9921828617	21.4623192729	23.2223389708
1497-RMM-0286	17.0784008603	21.4499789116	25.0958211551
1497-RMM-0287	22.4737715746	15.1696888314	25.0321654365
1497-RMM-0288	24.8924901208	18.3170390345	19.8006833346
1497-RMM-0289	25.4217683481	16.532604165	19.6141236043
1497-RMM-0290	23.0417562496	15.1988768178	22.5904102373
1497-RMM-0291	19.3881391987	18.7352900985	25.1350065954
1497-RMM-0292	18.7375862343	18.1494595746	27.0259323049
1497-RMM-0293	19.8108823102	18.3351293379	25.067645016
1497-RMM-0294RD	23.3754698784	16.9789819107	21.0941247213
1497-RMM-0295	20.8246092403	15.5790645149	25.4901172084
1497-RMM-0296RD	24.342447285	18.2226356206	20.4265426428
1497-RMM-0297	19.1639974006	17.6566117341	26.929201469
1497-RMM-0298	29.6276488927	14.0315657117	17.5545089335
1497-RMM-0299	24.3951180651	17.569982897	20.9837567833
1497-RMM-0300	18.4083846524	16.8646586192	27.0722461972
1497-RMM-0301	16.7981985093	20.5776911541	27.0685194762
1497-RMM-0302	20.7557082474	20.0635998762	22.7692633362
1497-RMM-0303	21.0319795705	17.1189843271	25.3716716573
1497-RMM-0304	17.0532735328	18.4037755716	27.2525232122
1497-RMM-0305	19.8571818163	16.6331722385	26.6232131319
1497-RMM-0306	22.6662136043	15.6479909764	23.1872903437
1497-RMM-0307	27.9997342195	16.1645087067	18.1060193488
1497-RMM-0308	29.1645014206	13.1269512446	18.9910707206
1497-RMM-0309	20.6867756053	19.1770341631	23.6670036849
1497-RMM-0310	24.299208282	22.4554221205	17.1043198057
1497-RMM-0311	26.5317957263	15.89731214	19.8033284723
1497-RMM-0312	22.7888039558	16.8997179792	22.7135896001
1497-RMM-0313	24.2477234406	17.8831273945	20.0775751668
1497-RMM-0314	24.041963445	15.4073872639	23.4416151235
1497-RMM-0315RD	21.6043376531	17.9317820099	24.750927855
1497-RMM-0316	11.632907204	20.1744965356	32.0523311621
1497-RMM-0317	20.8219550304	22.0544526079	20.9719763823
1497-RMM-0318	19.8076334969	17.1832153163	24.6752656247
1497-RMM-0319	28.2261837802	15.1993858257	18.1684720714
1497-RMM-0320	22.272378498	15.9566390874	24.2170391615
1497-RMM-0321	21.0460756283	17.6785677348	24.4478354316
1497-RMM-0322	17.6843116903	18.4663247953	26.0146360935
1497-RMM-0323	17.4491012626	19.6112901602	26.1907164739
1497-RMM-0324	19.4374850298	17.5690024627	26.3348194762
1497-RMM-0325	17.7799590257	19.4128440344	25.9630247275
1497-RMM-0326	24.069234549	15.5636408191	22.231364163
1497-RMM-0327RD	24.0158621868	15.0787014889	22.8161334689
1497-RMM-0328	17.3540920036	18.6859005522	27.5934362124
1497-RMM-0329	22.4103114288	15.6537243884	24.8975700092
1497-RMM-0330	20.8866053713	18.1672279281	23.7141983299
1497-RMM-0331	29.5655968171	13.3915415201	18.2228415557
1497-RMM-0332	16.7251349289	19.3132582234	27.7559957213
1497-RMM-0333	25.9632667627	23.2340750968	14.4274787531
1497-RMM-0334	24.0472212497	15.3031442264	23.6320884372
1497-RMM-0335RD	21.1112958269	17.7576903464	24.7393983152
1497-RMM-0336	20.7665566788	19.173733635	22.7798559474
1497-RMM-0337	17.5268587913	16.7511332769	28.5437210918
1497-RMM-0338	24.6655021715	17.4493486014	20.6444605583
1497-RMM-0339	24.8280332442	14.8585141291	21.6189413274
1497-RMM-0340	18.3155890539	16.3298978375	28.6708200966
1497-RMM-0341	18.9916359635	18.2421961804	25.0016718044
1497-RMM-0342	24.190804932	14.633255687	23.2754794681
1497-RMM-0343	27.2552623305	15.4695115573	19.1617290257
1497-RMM-0344	19.2513714852	22.4410164358	23.1960699168
1497-RMM-0345	25.7107251473	16.533971036	18.4979289436
1497-RMM-0346RD	21.4829788454	17.3876499416	23.3841594203
1497-RMM-0347	22.9547103993	14.532540886	24.2183760195
1497-RMM-0348	22.5985299525	17.1065704613	22.4950386639
1497-RMM-0349RD	23.7367362354	14.3648263103	23.5627730261
1497-RMM-0350	20.6747671479	16.3317221074	26.0509902335
1497-RMM-0351	27.0095626522	13.6340611819	21.2073145289
1497-RMM-0352	26.6968955391	12.2996052299	22.7378206454
1497-RMM-0353	24.4313145058	15.7940882893	22.3392388301
1497-RMM-0354	23.9419447272	15.3963998186	23.338515498
1497-RMM-0355	26.1944628271	15.6405806031	19.7742464196
1497-RMM-0356	23.5750373291	16.6310206547	22.2276423566
1497-RMM-0357	25.5944056981	13.9270006347	21.5077636483
1497-RMM-0358	23.9639783101	14.7682298822	22.8289255749
1497-RMM-0359	20.642711937	14.3908115359	27.5706784391
1497-RMM-0360	16.1988122158	18.864864207	28.7589884531
